City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,pyhajarvi,67.0701,27.2176,17.23,32,19,3.62,FI,08-07-2023
107,saint-philippe,-21.3585,55.7679,25.77,76,76,6.6,RE,08-07-2023
108,alice springs,-23.7,133.8833,13.75,44,93,3.82,AU,08-07-2023
109,chonchi,-42.6128,-73.8092,6.18,97,100,2.72,CL,08-07-2023
110,arraias,-12.9288,-46.9437,17.03,60,0,1.97,BR,08-07-2023
111,lompoc,34.6391,-120.4579,15.43,83,100,7.6,US,08-07-2023
112,portland,45.5234,-122.6762,15.76,85,0,2.57,US,08-07-2023
113,yekaterinoslavka,50.3734,129.1139,26.37,66,0,0.92,RU,08-07-2023
114,san antonio de pale,-1.4014,5.6325,22.95,90,43,5.88,GQ,08-07-2023
115,sarandi del yi,-33.35,-55.6333,6.4,84,37,3.86,UY,08-07-2023
116,zamora,-4.0692,-78.9567,22.71,98,100,0.45,EC,08-07-2023
117,fernie,49.5,-115.0687,9.11,95,17,2.03,CA,08-07-2023
118,mahibadhoo,3.7833,72.9667,28.16,71,16,3.11,MV,08-07-2023
119,coyhaique,-45.5752,-72.0662,-3.03,93,100,1.03,CL,08-07-2023
120,haiku-pauwela,20.9219,-156.3051,22.25,86,100,5.14,US,08-07-2023
121,khandyga,62.6667,135.6,14.84,86,75,4.12,RU,08-07-2023
122,avellaneda,-29.1176,-59.6583,16.52,90,100,3.28,AR,08-07-2023
123,rio grande,-32.035,-52.0986,13.3,89,100,5.77,BR,08-07-2023
124,flying fish cove,-10.4217,105.6791,25.82,78,100,5.66,CX,08-07-2023
125,smithers,54.7804,-127.1743,15.18,88,40,0.0,CA,08-07-2023
126,vilyuysk,63.7553,121.6247,18.14,36,3,5.37,RU,08-07-2023
127,rutland,43.6167,-73.0162,18.9,98,75,1.54,US,08-07-2023
128,sao raimundo nonato,-9.0153,-42.6994,21.19,79,0,1.63,BR,08-07-2023
129,tolanaro,-25.0319,46.9987,23.04,78,40,6.69,MG,08-07-2023
130,ust-nera,64.5667,143.2,16.09,78,100,2.72,RU,08-07-2023
131,melekeok village,7.4957,134.6367,27.31,83,75,1.54,PW,08-07-2023
132,fort st. john,56.2499,-120.8529,13.94,62,40,2.57,CA,08-07-2023
133,hermanus,-34.4187,19.2345,13.22,75,44,12.09,ZA,08-07-2023
134,ormara,25.2088,64.6357,29.26,79,100,7.57,PK,08-07-2023
135,xiaogan,30.9167,113.9,28.05,80,68,4.56,CN,08-07-2023
136,chui,-33.6971,-53.4616,10.49,77,63,3.22,UY,08-07-2023
137,kosciusko,33.0576,-89.5876,22.79,97,54,1.55,US,08-07-2023
138,peace river,56.2501,-117.286,15.36,76,0,0.0,CA,08-07-2023
139,hasaki,35.7333,140.8333,29.01,85,100,10.21,JP,08-07-2023
140,cabedelo,-6.9811,-34.8339,23.37,88,62,3.93,BR,08-07-2023
141,ribeira grande,38.5167,-28.7,20.22,64,20,1.54,PT,08-07-2023
142,aasiaat,68.7098,-52.8699,3.7,97,100,3.18,GL,08-07-2023
143,dryden,49.7833,-92.7503,10.16,87,0,1.54,CA,08-07-2023
144,coquimbo,-29.9533,-71.3436,7.85,87,0,3.09,CL,08-07-2023
145,olyokminsk,60.3736,120.4264,21.79,44,100,5.21,RU,08-07-2023
146,jayapura,-2.5333,140.7,27.66,92,100,2.82,ID,08-07-2023
147,alpine,32.835,-116.7664,14.38,83,100,0.0,US,08-07-2023
148,banda aceh,5.5577,95.3222,29.22,69,100,5.67,ID,08-07-2023
149,constantia,44.1833,28.65,24.38,68,100,11.09,RO,08-07-2023
150,belyy yar,53.6039,91.3903,25.94,50,40,3.0,RU,08-07-2023
151,sao joao do piaui,-8.3581,-42.2467,23.13,77,0,3.51,BR,08-07-2023
152,severo-yeniseyskiy,60.3725,93.0408,24.51,43,86,2.13,RU,08-07-2023
153,malanville,11.8685,3.3899,31.32,51,99,4.31,BJ,08-07-2023
154,mesquite,32.7668,-96.5992,28.36,78,78,1.79,US,08-07-2023
155,college,64.8569,-147.8028,13.99,87,100,8.23,US,08-07-2023
156,sudzha,51.1976,35.2726,27.84,61,63,5.7,RU,08-07-2023
157,san patricio,28.017,-97.5169,28.92,96,2,2.8,US,08-07-2023
158,qingyuan,23.7,113.0333,35.99,62,42,4.41,CN,08-07-2023
159,al qadarif,14.0349,35.3834,29.72,52,94,5.23,SD,08-07-2023
160,luganville,-15.5333,167.1667,24.35,82,16,4.23,VU,08-07-2023
161,aswan,24.0934,32.907,38.23,15,18,5.47,EG,08-07-2023
162,labrador city,52.9463,-66.9114,13.95,94,75,1.54,CA,08-07-2023
163,carutapera,-1.195,-46.02,24.57,90,13,2.12,BR,08-07-2023
164,noosa heads,-26.3833,153.15,12.97,49,0,3.51,AU,08-07-2023
165,kailua-kona,19.6406,-155.9956,25.98,83,20,2.57,US,08-07-2023
166,port hueneme,34.1478,-119.1951,17.51,91,0,0.0,US,08-07-2023
167,villa huidobro,-34.8383,-64.5869,5.13,76,45,3.39,AR,08-07-2023
168,zanjan,36.6736,48.4787,32.83,14,0,9.77,IR,08-07-2023
169,vadso,70.0744,29.7487,10.49,76,40,2.57,NO,08-07-2023
170,nampula,-15.1165,39.2666,22.97,68,75,3.6,MZ,08-07-2023
171,suntar,62.1444,117.6319,19.22,49,82,2.87,RU,08-07-2023
172,tsiombe,-25.3,45.4833,28.17,36,0,3.72,MG,08-07-2023
